N.º;País;Puntuación;PIB per cápita;Apoyo social;Esperanza  de vida saludable;Libertad para tomar decisiones vitales;Generosidad;Percepción de la corrupción
1;Finlandia;7.804;1.888;1.585;535;772;126;535
2;Dinamarca;7.586;1.949;1.548;537;734;208;525
3;Islandia;7.530;1.926;1.620;559;738;250;187
4;Israel;7.473;1.833;1.521;577;569;124;158
5;Países Bajos;7.403;1.942;1.488;545;672;251;394
6;Suecia;7.395;1.921;1.510;562;754;225;520
7;Noruega;7.315;1.994;1.521;544;752;212;463
8;Suiza;7.240;2.022;1.463;582;678;151;475
9;Luxemburgo;7.228;2.200;1.357;549;710;149;418
10;Nueva Zelanda;7.123;1.842;1.544;513;672;230;471
11;Austria;7.097;1.927;1.382;535;630;191;310
12;Australia;7.095;1.899;1.497;532;677;242;310
13;Canadá;6.961;1.881;1.484;541;656;218;364
14;Irlanda;6.911;2.152;1.425;539;656;186;409
15;Estados Unidos;6.894;1.980;1.460;390;557;210;172
16;Alemania;6.892;1.919;1.401;539;618;153;365
17;Bélgica;6.859;1.907;1.449;528;590;137;273
18;República Checa;6.845;1.823;1.544;477;693;158;50
19;Reino Unido;6.796;1.857;1.366;511;626;272;340
20;Lituania;6.763;1.808;1.511;432;487;59;89
21;Francia;6.661;1.856;1.433;566;582;83;270
22;Eslovenia;6.650;1.815;1.539;532;707;144;113
23;Costa Rica;6.609;1.587;1.340;503;683;99;116
24;Rumanía;6.589;1.726;1.280;423;631;44;0
25;Singapur;6.587;2.168;1.354;607;660;170;561
26;Emiratos Árabes Unidos;6.571;2.015;1.223;401;745;188;247
27;Taiwán;6.535;1.890;1.372;492;562;67;178
28;Uruguay;6.494;1.617;1.445;435;683;102;254
29;Eslovaquia;6.469;1.731;1.544;472;494;128;22
30;Arabia Saudí;6.463;1.861;1.370;351;682;93;170
31;Estonia;6.455;1.798;1.526;494;728;153;372
32;España;6.436;1.798;1.491;567;533;101;157
33;Italia;6.405;1.832;1.365;559;438;97;63
34;Kosovo;6.368;1.374;1.269;372;639;275;45
35;Chile;6.334;1.645;1.384;511;546;131;76
36;México;6.330;1.550;1.169;389;632;86;115
37;Malta;6.300;1.841;1.468;547;671;200;143
38;Panamá;6.265;1.714;1.402;475;630;65;36
39;Polonia;6.260;1.767;1.474;477;511;120;139
40;Nicaragua;6.259;1.109;1.292;385;660;148;218
41;Letonia;6.213;1.737;1.505;405;580;107;71
42;Baréin;6.173;1.883;1.269;389;748;199;138
43;Guatemala;6.150;1.287;1.188;310;631;106;66
44;Kazajistán;6.144;1.664;1.491;389;628;136;149
45;BSerbia;6.144;1.552;1.343;424;617;246;81
46;Chipre;6.130;1.824;1.224;580;455;104;50
47;Japón;6.129;1.825;1.396;622;556;9;207
48;Croacia;6.125;1.727;1.455;475;500;87;3
49;Brasil;6.125;1.454;1.250;387;558;131;137
50;El Salvador;6.122;1.278;1.044;383;713;79;222
51;Hungría;6.041;1.754;1.519;435;501;105;65
